,UserId,expertVideoWatched,clientVideoWatched,savedPosters,completedBarriers,selectedBarriers
0,5704b8c3-0e67-4127-4d78-08d8cc33525c,False,False,,['Prefer help from family or friends'],['Others don’t think it’s a problem']
1,b93d2a00-fe4a-4b0f-4d7a-08d8cc33525c,True,True,,"['Prefer help from family or friends', 'It’s just a passing phase', 'Counselling will mean I’m weak', 'Afraid how it affects my job or family', 'Fear of negative labels']","['Others don’t think it’s a problem', 'Difficult to get support to seek help', 'Talking might make it worse', 'Dislike talking about my feelings', 'Doubts about treatment options', 'Afraid to consult a professional again', 'Doubtful if therapy helps', 'I don’t trust therapists', 'Inaccessibility of services', 'Professional help is costly', 'No time to consult', 'Difficult to leave home']"
2,b6a54ac9-3268-4ecb-4d7b-08d8cc33525c,False,False,[],[],[]
3,4d65f14e-74b2-4077-4d7e-08d8cc33525c,False,False,[],[],[]
4,46557658-06af-4808-4d7f-08d8cc33525c,True,True,,"['It’s just a passing phase', 'Prefer help from family or friends', 'Counselling will mean I’m weak', 'Afraid how it affects my job or family', 'Fear of negative labels', 'Talking might make it worse', 'Dislike talking about my feelings', 'Doubts about treatment options', 'Afraid to consult a professional again', 'Doubtful if therapy helps']","['Others don’t think it’s a problem', 'Difficult to get support to seek help', 'I don’t trust therapists', 'Inaccessibility of services', 'Professional help is costly', 'No time to consult', 'Difficult to leave home']"
5,c1f1cfbb-28b0-4788-4d80-08d8cc33525c,False,False,,[],[]
6,adeb096a-0090-4191-4d81-08d8cc33525c,False,False,,[],[]
7,17cb7b35-4653-4c2f-4d82-08d8cc33525c,False,False,[],[],[]
8,8ab775d5-6848-4687-4d83-08d8cc33525c,False,False,,[],"['Dislike talking about my feelings', 'I don’t trust therapists', 'Difficult to leave home']"
9,f1031320-6c06-41bb-4d86-08d8cc33525c,False,False,,"['Talking might make it worse', 'Dislike talking about my feelings', 'Doubts about treatment options', 'Afraid to consult a professional again', 'I don’t trust therapists', 'Doubtful if therapy helps', 'Inaccessibility of services', 'Professional help is costly', 'No time to consult', 'Difficult to leave home', 'Counselling will mean I’m weak', 'It’s just a passing phase', 'Prefer help from family or friends', 'Afraid how it affects my job or family', 'Fear of negative labels', 'Difficult to get support to seek help']",['Others don’t think it’s a problem']
10,560fce02-1819-4493-4d87-08d8cc33525c,False,False,,[],[]
11,3e6c01d2-603b-4553-4d88-08d8cc33525c,False,False,,[],[]
12,18570ac4-1dda-46e5-bc91-08d8d6f4dffc,False,False,[],"['Others don’t think it’s a problem', 'Difficult to get support to seek help', 'Talking might make it worse']",[]
13,c88ec046-af5b-42e4-e5a7-08d8deeb08c6,False,False,,[],[]
14,474bedfb-bfe7-4fbb-e5a8-08d8deeb08c6,False,False,,[],[]
15,e8e95a0c-0267-4201-7b10-08d8f45c19aa,False,False,[],[],[]
16,cfc020c0-1b36-4a41-c041-08d8f98f9467,False,False,[],[],[]
17,214df20d-8b7b-470c-7783-08d9000d5fcd,False,False,[],[],[]
18,5b833480-ed73-40a3-7784-08d9000d5fcd,False,False,[],[],[]
